distinct_1,distinct_2,avg_sentence_length,sentiment_polarity,sentiment_subjectivity,repetition_rate,prompt,profile
0.84375,1.0,10.666666666666666,-0.9996694326400757,0.9996694326400757,0.3125,I feel anxious about my future.,baseline
0.8333333333333334,1.0,15.0,-0.9964646100997925,0.9964646100997925,0.3,I feel anxious about my future.,empathetic
0.8214285714285714,1.0,7.25,-0.9889538288116455,0.9889538288116455,0.32142857142857145,I feel anxious about my future.,cautious
0.8285714285714286,1.0,17.5,0.9998555183410645,0.9998555183410645,0.3142857142857143,I am proud of myself for finishing this project.,baseline
0.8857142857142857,1.0,11.666666666666666,0.9998185038566589,0.9998185038566589,0.22857142857142856,I am proud of myself for finishing this project.,empathetic
0.7837837837837838,0.9444444444444444,12.333333333333334,0.9998584985733032,0.9998584985733032,0.3783783783783784,I am proud of myself for finishing this project.,cautious
0.8888888888888888,1.0,12.0,-0.8500651717185974,0.8500651717185974,0.16666666666666666,I feel lonely even when surrounded by people.,baseline
0.896551724137931,1.0,9.666666666666666,0.9986560344696045,0.9986560344696045,0.20689655172413793,I feel lonely even when surrounded by people.,empathetic
0.8055555555555556,1.0,18.0,-0.9469277858734131,0.9469277858734131,0.3333333333333333,I feel lonely even when surrounded by people.,cautious
0.9117647058823529,1.0,11.666666666666666,-0.9867997169494629,0.9867997169494629,0.17647058823529413,Nothing I do turns out right.,baseline
0.9354838709677419,1.0,10.666666666666666,-0.9744307994842529,0.9744307994842529,0.12903225806451613,Nothing I do turns out right.,empathetic
0.8928571428571429,1.0,9.666666666666666,-0.9903231859207153,0.9903231859207153,0.21428571428571427,Nothing I do turns out right.,cautious
0.8125,0.8387096774193549,10.666666666666666,-0.5298089981079102,0.5298089981079102,0.375,I feel motivated to change my habits.,baseline
0.9090909090909091,0.9523809523809523,7.666666666666667,-0.9492153525352478,0.9492153525352478,0.18181818181818182,I feel motivated to change my habits.,empathetic
0.84375,1.0,8.0,-0.9988783001899719,0.9988783001899719,0.25,I feel motivated to change my habits.,cautious
0.9047619047619048,1.0,7.333333333333333,-0.9989895224571228,0.9989895224571228,0.19047619047619047,I feel overwhelmed by my responsibilities.,baseline
0.6956521739130435,0.9090909090909091,5.75,0.9970179796218872,0.9970179796218872,0.5652173913043478,I feel overwhelmed by my responsibilities.,empathetic
0.8709677419354839,1.0,8.0,0.9942330718040466,0.9942330718040466,0.22580645161290322,I feel overwhelmed by my responsibilities.,cautious
0.9354838709677419,1.0,8.0,0.9987106323242188,0.9987106323242188,0.12903225806451613,I miss someone who is no longer in my life.,baseline
0.8378378378378378,1.0,12.333333333333334,0.9987632036209106,0.9987632036209106,0.24324324324324326,I miss someone who is no longer in my life.,empathetic
0.9117647058823529,1.0,11.333333333333334,0.8784146904945374,0.8784146904945374,0.17647058823529413,I miss someone who is no longer in my life.,cautious
0.9,1.0,15.0,0.6711997985839844,0.6711997985839844,0.16666666666666666,I feel grateful for small daily moments.,baseline
0.896551724137931,1.0,14.5,0.9863552451133728,0.9863552451133728,0.20689655172413793,I feel grateful for small daily moments.,empathetic
0.9117647058823529,1.0,11.333333333333334,0.9998193383216858,0.9998193383216858,0.17647058823529413,I feel grateful for small daily moments.,cautious
0.8571428571428571,0.9705882352941176,11.666666666666666,0.9948694705963135,0.9948694705963135,0.2857142857142857,I am frustrated with my lack of progress.,baseline
0.9142857142857143,1.0,12.0,-0.999473512172699,0.999473512172699,0.14285714285714285,I am frustrated with my lack of progress.,empathetic
0.8571428571428571,0.9629629629629629,7.0,-0.9978954792022705,0.9978954792022705,0.25,I am frustrated with my lack of progress.,cautious
